gid,x,y,z
706,-12,-0.714286,0.357143
707,-12,-0.714286,0.714286
708,-12,-0.714286,1.07143
709,-12,-0.714286,1.42857
710,-12,-0.714286,1.78571
711,-12,-0.714286,2.14286
712,-12,-0.714286,2.5
713,-12,-0.714286,3.5
714,-12,-0,-3.5
715,-12,-0,-2.5
716,-12,-0,-2.14286
717,-12,-0,-1.78571
718,-12,-0,-1.42857
719,-12,-0,-1.07143
720,-12,-0,-0.714286
721,-12,-0,-0.357143
722,-12,-0,-0
723,-12,-0,0.357143
724,-12,-0,0.714286
725,-12,-0,1.07143
726,-12,-0,1.42857
727,-12,-0,1.78571
728,-12,-0,2.14286
729,-12,-0,2.5
730,-12,-0,3.5
731,-12,0.714286,-3.5
732,-12,0.714286,-2.5
733,-12,0.714286,-2.14286
734,-12,0.714286,-1.78571
735,-12,0.714286,-1.42857
736,-12,0.714286,-1.07143
737,-12,0.714286,-0.714286
738,-12,0.714286,-0.357143
739,-12,0.714286,-0
740,-12,0.714286,0.357143
741,-12,0.714286,0.714286
742,-12,0.714286,1.07143
743,-12,0.714286,1.42857
744,-12,0.714286,1.78571
745,-12,0.714286,2.14286
746,-12,0.714286,2.5
747,-12,0.714286,3.5
748,-12,1.42857,-3.5
749,-12,1.42857,-2.5
750,-12,1.42857,-2.14286
751,-12,1.42857,-1.78571
752,-12,1.42857,-1.42857
753,-12,1.42857,-1.07143
754,-12,1.42857,-0.714286
755,-12,1.42857,-0.357143
756,-12,1.42857,-0
757,-12,1.42857,0.357143
758,-12,1.42857,0.714286
759,-12,1.42857,1.07143
760,-12,1.42857,1.42857
761,-12,1.42857,1.78571
762,-12,1.42857,2.14286
763,-12,1.42857,2.5
764,-12,1.42857,3.5
765,-12,2.14286,-3.5
766,-12,2.14286,-2.5
767,-12,2.14286,-2.14286
768,-12,2.14286,-1.78571
769,-12,2.14286,-1.42857
770,-12,2.14286,-1.07143
771,-12,2.14286,-0.714286
772,-12,2.14286,-0.357143
773,-12,2.14286,-0
774,-12,2.14286,0.357143
775,-12,2.14286,0.714286
776,-12,2.14286,1.07143
777,-12,2.14286,1.42857
778,-12,2.14286,1.78571
779,-12,2.14286,2.14286
780,-12,2.14286,2.5
781,-12,2.14286,3.5
782,-12,2.85714,-3.5
783,-12,2.85714,-2.5
784,-12,2.85714,-2.14286
785,-12,2.85714,-1.78571
786,-12,2.85714,-1.42857
787,-12,2.85714,-1.07143
788,-12,2.85714,-0.714286
789,-12,2.85714,-0.357143
790,-12,2.85714,-0
791,-12,2.85714,0.357143
792,-12,2.85714,0.714286
793,-12,2.85714,1.07143
794,-12,2.85714,1.42857
795,-12,2.85714,1.78571
796,-12,2.85714,2.14286
797,-12,2.85714,2.5
798,-12,2.85714,3.5
799,-12,3.57143,-3.5
800,-12,3.57143,-2.5
801,-12,3.57143,-2.14286
802,-12,3.57143,-1.78571
803,-12,3.57143,-1.42857
804,-12,3.57143,-1.07143
805,-12,3.57143,-0.714286
806,-12,3.57143,-0.357143
807,-12,3.57143,-0
808,-12,3.57143,0.357143
809,-12,3.57143,0.714286
810,-12,3.57143,1.07143
811,-12,3.57143,1.42857
812,-12,3.57143,1.78571
813,-12,3.57143,2.14286
814,-12,3.57143,2.5
815,-12,3.57143,3.5
816,-12,4.28571,-3.5
817,-12,4.28571,-2.5
818,-12,4.28571,-2.14286
819,-12,4.28571,-1.78571
820,-12,4.28571,-1.42857
821,-12,4.28571,-1.07143
822,-12,4.28571,-0.714286
823,-12,4.28571,-0.357143
824,-12,4.28571,-0
825,-12,4.28571,0.357143
826,-12,4.28571,0.714286
827,-12,4.28571,1.07143
828,-12,4.28571,1.42857
829,-12,4.28571,1.78571
830,-12,4.28571,2.14286
831,-12,4.28571,2.5
832,-12,4.28571,3.5
833,-12,5,-3.5
834,-12,5,-2.5
835,-12,5,-2.14286
836,-12,5,-1.78571
837,-12,5,-1.42857
838,-12,5,-1.07143
839,-12,5,-0.714286
840,-12,5,-0.357143
841,-12,5,-0
842,-12,5,0.357143
843,-12,5,0.714286
844,-12,5,1.07143
845,-12,5,1.42857
846,-12,5,1.78571
847,-12,5,2.14286
848,-12,5,2.5
849,-12,5,3.5
850,-12,6,-3.5
851,-12,6,-2.5
852,-12,6,-2.14286
853,-12,6,-1.78571
854,-12,6,-1.42857
855,-12,6,-1.07143
856,-12,6,-0.714286
857,-12,6,-0.357143
858,-12,6,-0
859,-12,6,0.357143
860,-12,6,0.714286
861,-12,6,1.07143
862,-12,6,1.42857
863,-12,6,1.78571
864,-12,6,2.14286
865,-12,6,2.5
866,-12,6,3.5
867,-11.2857,-6,-3.5
868,-11.2857,-6,-2.5
869,-11.2857,-6,-2.14286
870,-11.2857,-6,-1.78571
871,-11.2857,-6,-1.42857
872,-11.2857,-6,-1.07143
873,-11.2857,-6,-0.714286
874,-11.2857,-6,-0.357143
875,-11.2857,-6,-0
876,-11.2857,-6,0.357143
877,-11.2857,-6,0.714286
878,-11.2857,-6,1.07143
879,-11.2857,-6,1.42857
880,-11.2857,-6,1.78571
881,-11.2857,-6,2.14286
882,-11.2857,-6,2.5
883,-11.2857,-6,3.5
884,-11.2857,-5,-3.5
885,-11.2857,-5,-2.5
886,-11.2857,-5,-2.14286
887,-11.2857,-5,-1.78571
888,-11.2857,-5,-1.42857
889,-11.2857,-5,-1.07143
890,-11.2857,-5,-0.714286
891,-11.2857,-5,-0.357143
892,-11.2857,-5,-0
893,-11.2857,-5,0.357143
894,-11.2857,-5,0.714286
895,-11.2857,-5,1.07143
896,-11.2857,-5,1.42857
897,-11.2857,-5,1.78571
898,-11.2857,-5,2.14286
899,-11.2857,-5,2.5
900,-11.2857,-5,3.5
901,-11.2857,-4.28571,-3.5
