H_eV,T_noC,T_withC
-6.877024e-01,0.000000e+00,0.000000e+00
-6.852024e-01,0.000000e+00,0.000000e+00
-6.827024e-01,0.000000e+00,0.000000e+00
-6.802024e-01,0.000000e+00,0.000000e+00
-6.777024e-01,0.000000e+00,0.000000e+00
-6.752024e-01,0.000000e+00,0.000000e+00
-6.727024e-01,0.000000e+00,0.000000e+00
-6.702024e-01,0.000000e+00,0.000000e+00
-6.677024e-01,0.000000e+00,0.000000e+00
-6.652024e-01,0.000000e+00,0.000000e+00
-6.627024e-01,0.000000e+00,0.000000e+00
-6.602024e-01,0.000000e+00,0.000000e+00
-6.577024e-01,0.000000e+00,0.000000e+00
-6.552024e-01,0.000000e+00,0.000000e+00
-6.527024e-01,0.000000e+00,0.000000e+00
-6.502024e-01,0.000000e+00,0.000000e+00
-6.477024e-01,0.000000e+00,0.000000e+00
-6.452024e-01,0.000000e+00,0.000000e+00
-6.427024e-01,0.000000e+00,0.000000e+00
-6.402024e-01,0.000000e+00,0.000000e+00
-6.377024e-01,0.000000e+00,0.000000e+00
-6.352024e-01,0.000000e+00,0.000000e+00
-6.327024e-01,0.000000e+00,0.000000e+00
-6.302024e-01,0.000000e+00,0.000000e+00
-6.277024e-01,0.000000e+00,0.000000e+00
-6.252024e-01,0.000000e+00,0.000000e+00
-6.227024e-01,0.000000e+00,0.000000e+00
-6.202024e-01,0.000000e+00,0.000000e+00
-6.177024e-01,0.000000e+00,0.000000e+00
-6.152024e-01,0.000000e+00,0.000000e+00
-6.127024e-01,0.000000e+00,0.000000e+00
-6.102024e-01,0.000000e+00,0.000000e+00
-6.077024e-01,0.000000e+00,0.000000e+00
-6.052024e-01,0.000000e+00,0.000000e+00
-6.027024e-01,0.000000e+00,0.000000e+00
-6.002024e-01,0.000000e+00,0.000000e+00
-5.977024e-01,0.000000e+00,0.000000e+00
-5.952024e-01,0.000000e+00,0.000000e+00
-5.927024e-01,0.000000e+00,0.000000e+00
-5.902024e-01,0.000000e+00,0.000000e+00
-5.877024e-01,0.000000e+00,0.000000e+00
-5.852024e-01,0.000000e+00,0.000000e+00
-5.827024e-01,0.000000e+00,0.000000e+00
-5.802024e-01,0.000000e+00,0.000000e+00
-5.777024e-01,0.000000e+00,0.000000e+00
-5.752024e-01,0.000000e+00,0.000000e+00
-5.727024e-01,0.000000e+00,0.000000e+00
-5.702024e-01,0.000000e+00,0.000000e+00
-5.677024e-01,0.000000e+00,0.000000e+00
-5.652024e-01,0.000000e+00,0.000000e+00
-5.627024e-01,0.000000e+00,0.000000e+00
-5.602024e-01,0.000000e+00,0.000000e+00
-5.577024e-01,0.000000e+00,0.000000e+00
-5.552024e-01,0.000000e+00,0.000000e+00
-5.527024e-01,0.000000e+00,0.000000e+00
-5.502024e-01,0.000000e+00,0.000000e+00
-5.477024e-01,0.000000e+00,0.000000e+00
-5.452024e-01,0.000000e+00,0.000000e+00
-5.427024e-01,0.000000e+00,0.000000e+00
-5.402024e-01,0.000000e+00,0.000000e+00
-5.377024e-01,0.000000e+00,0.000000e+00
-5.352024e-01,0.000000e+00,0.000000e+00
-5.327024e-01,0.000000e+00,0.000000e+00
-5.302024e-01,0.000000e+00,0.000000e+00
-5.277024e-01,0.000000e+00,0.000000e+00
-5.252024e-01,0.000000e+00,0.000000e+00
-5.227024e-01,0.000000e+00,0.000000e+00
-5.202024e-01,0.000000e+00,0.000000e+00
-5.177024e-01,0.000000e+00,0.000000e+00
-5.152024e-01,0.000000e+00,0.000000e+00
-5.127024e-01,0.000000e+00,0.000000e+00
-5.102024e-01,0.000000e+00,0.000000e+00
-5.077024e-01,0.000000e+00,0.000000e+00
-5.052024e-01,0.000000e+00,0.000000e+00
-5.027024e-01,0.000000e+00,0.000000e+00
-5.002024e-01,0.000000e+00,0.000000e+00
-4.977024e-01,0.000000e+00,0.000000e+00
-4.952024e-01,0.000000e+00,0.000000e+00
-4.927024e-01,0.000000e+00,0.000000e+00
-4.902024e-01,0.000000e+00,0.000000e+00
-4.877024e-01,0.000000e+00,0.000000e+00
-4.852024e-01,0.000000e+00,0.000000e+00
-4.827024e-01,0.000000e+00,0.000000e+00
-4.802024e-01,0.000000e+00,0.000000e+00
-4.777024e-01,0.000000e+00,0.000000e+00
-4.752024e-01,0.000000e+00,0.000000e+00
-4.727024e-01,0.000000e+00,0.000000e+00
-4.702024e-01,0.000000e+00,0.000000e+00
-4.677024e-01,0.000000e+00,0.000000e+00
-4.652024e-01,0.000000e+00,0.000000e+00
-4.627024e-01,0.000000e+00,0.000000e+00
-4.602024e-01,0.000000e+00,0.000000e+00
-4.577024e-01,0.000000e+00,0.000000e+00
-4.552024e-01,0.000000e+00,0.000000e+00
-4.527024e-01,0.000000e+00,0.000000e+00
-4.502024e-01,0.000000e+00,0.000000e+00
